      t(s)           x(m)           y(m)
   8.16000        9.66516        1.27567
   8.17000        9.66433        1.27719
   8.18000        9.66350        1.27872
   8.19000        9.66267        1.28025
   8.20000        9.66184        1.28177
   8.21000        9.66101        1.28330
   8.22000        9.66018        1.28482
   8.23000        9.65934        1.28635
   8.24000        9.65851        1.28788
   8.25000        9.65767        1.28940
   8.26000        9.65683        1.29093
   8.27000        9.65600        1.29245
   8.28000        9.65516        1.29398
   8.29000        9.65432        1.29550
   8.30000        9.65348        1.29703
   8.31000        9.65263        1.29855
   8.32000        9.65179        1.30008
   8.33000        9.65095        1.30160
   8.34000        9.65010        1.30313
   8.35000        9.64926        1.30465
   8.36000        9.64841        1.30618
   8.37000        9.64756        1.30770
   8.38000        9.64671        1.30922
   8.39000        9.64586        1.31075
   8.40000        9.64501        1.31227
   8.41000        9.64416        1.31379
   8.42000        9.64330        1.31532
   8.43000        9.64245        1.31684
   8.44000        9.64159        1.31836
   8.45000        9.64074        1.31989
   8.46000        9.63988        1.32141
   8.47000        9.63902        1.32293
   8.48000        9.63816        1.32445
   8.49000        9.63730        1.32598
   8.50000        9.63644        1.32750
   8.51000        9.63557        1.32902
   8.52000        9.63471        1.33054
   8.53000        9.63384        1.33206
   8.54000        9.63298        1.33359
   8.55000        9.63211        1.33511
   8.56000        9.63124        1.33663
   8.57000        9.63037        1.33815
   8.58000        9.62950        1.33967
   8.59000        9.62863        1.34119
   8.60000        9.62776        1.34271
   8.61000        9.62688        1.34423
   8.62000        9.62601        1.34575
   8.63000        9.62513        1.34727
   8.64000        9.62426        1.34879
   8.65000        9.62338        1.35031
   8.66000        9.62250        1.35183
   8.67000        9.62162        1.35335
   8.68000        9.62074        1.35487
   8.69000        9.61986        1.35639
